Hackerspace,Hackerspace#,Country,State,City,Website,Date-of-founding,Hackerspace-status,data-sort-value,
HackLab CatanZaro,HackLab CatanZaro,Italy,Calabria,Catanzaro,http://hacklab.cz,7 July 2007,active,2454288.5,
Delete-me,Delete-me,Italy,Calabria,Catanzaro,http://hacklab.cz,7 July 2007,closed,2454288.5,
Vers,Vers,Netherlands,Zuid Holland,Rotterdam,http://www.verswerk.org,1 August 2007,active,2454313.5,
Frieda23,Frieda23,Germany,Mecklenburg-Vorpommern,Rostock,http://www.opennet-initiative.de/,1 August 2007,active,2454313.5,
SuperHappyDevClub,SuperHappyDevClub,United Kingdom,Cambridgeshire,Cambridge,http://superhappydevclub.org,11 August 2007,active,2454323.5,
Zero1 Nation,Zero1 Nation,United States of America,Colorado,Colorado Springs,http://zero1-nation.github.io/,17 August 2007,active,2454329.5,
NYC Resistor,NYC Resistor,United States of America,New York,New York City,http://nycresistor.com,18 August 2007,active,2454330.5,
Neuboo,Neuboo,India,Tamil Nadu,Chennai,,1 September 2007,active,2454344.5,
/tmp/lab,/tmp/lab,France,Ile de France,Choisy le Roi,http://www.tmplab.org/,1 October 2007,active,2454374.5,
Taws,Taws,Ecuador,Guayas,Guayaquil,http://taws.espol.edu.ec/,1 October 2007,active,2454374.5,
Hacker Consortium,Hacker Consortium,United States of America,Tennessee,Nashville,http://www.hackerconsortium.com,1 October 2007,closed,2454374.5,
FactorEFarm,FactorEFarm,United States of America,Missouri,Kansas City,http://opensourceecology.org/,19 October 2007,active,2454392.5,
Moddr,Moddr,Netherlands,,Rotterdam,http://moddr.net,26 October 2007,active,2454399.5,
Chaos Computer Club Göttingen,Chaos Computer Club Göttingen,Germany,Niedersachsen,Goettingen,https://www.cccgoe.de/,1 November 2007,active,2454405.5,
Metameute,Metameute,Germany,Schleswig-Holstein,Lübeck,http://www.metameute.de,14 December 2007,active,2454448.5,
Mz Baltazar's Laboratory,Mz Baltazar's Laboratory,Austria,Vienna,Vienna,http://www.mzbaltazarslaboratory.org,1 January 2008,active,2454466.5,
GrendelVan,GrendelVan,United States of America,Colorado,Colorado Springs,http://mhs.hackerdemia.com,1 January 2008,closed,2454466.5,
TXRX Labs,TXRX Labs,United States of America,Texas,Houston,http://txrxlabs.org/,2008,active,2454466.5,
BFZ Berlin e.V.,BFZ Berlin e.V.,Germany,,Berlin,http://www.bfz-berlin.org,1 January 2008,active,2454466.5,
Devnuts,Devnuts,United States of America,Pennsylvania,Philadelphia,http://www.devnuts.com,1 January 2008,active,2454466.5,
TekVenture,TekVenture,United States of America,Indiana,Fort Wayne,http://www.TekVenture.org,1 January 2008,active,2454466.5,
White-Hat Club,White-Hat Club,India,Assam,Guwahati,http://www.whitehatgroup.in,6 February 2008,active,2454502.5,
4nchor5 la6,4nchor5 la6,Japan,Tokyo,Tokyo,http://456.im,24 February 2008,active,2454520.5,
Video-transito-local,Video-transito-local,Chile,La victoria,Santiago,https://we.riseup.net/video-transito-local,1 March 2008,active,2454526.5,
IEEE MTU,IEEE MTU,United States of America,Michigan,Houghton,http://ieee.students.mtu.edu/wiki/,4 March 2008,active,2454529.5,
Cowtown Computer Congress,Cowtown Computer Congress,United States of America,Missouri,Kansas City,http://c3kc.org/,15 March 2008,active,2454540.5,
Makers Local 256,Makers Local 256,United States of America,Alabama,Huntsville,https://256.makerslocal.org,20 March 2008,active,2454545.5,
LUGR,LUGR,Germany,Bavaria,Regensburg,http://www.lugr.de,20 March 2008,active,2454545.5,
AS220 Labs,AS220 Labs,United States of America,Rhode Island,Providence,http://labs.as220.org,1 April 2008,active,2454557.5,
AS220 labs,AS220 labs,United States of America,Rhode Island,Providence,http://as220.org/labs,1 April 2008,active,2454557.5,
Le Garage,Le Garage,France,,Saint-Étienne,http://www.legarage-gpl.org,1 April 2008,active,2454557.5,
Miss Despoinas Hackspace,Miss Despoinas Hackspace,Australia,Tasmania,Hobart,http://miss-hack.org,1 April 2008,active,2454557.5,
CCC Bremen,CCC Bremen,,Bremen,,http://ccchb.de/,2 April 2008,,2454558.5,
HacDC,HacDC,United States of America,District of Columbia,Washington D.C.,http://www.hacdc.org/,3 April 2008,active,2454559.5,
Tijuana makerspace,Tijuana makerspace,Mexico,Baja California,Tijuana,http://tijuanamakerspace.wordpress.com/about/,7 April 2008,active,2454563.5,
New York Hacking Society,New York Hacking Society,United States of America,New York,New York City,,1 May 2008,active,2454587.5,
